GEOCODIGO1,Quantidade_Paralizacao,GEOCODIGO,AG002,ES002,IN014
270180,44,2701803,1593,NA,NA
270200,6,2702009,836,NA,NA
270235,116,2702355,4084,NA,NA
270240,144,2702405,14522,14000,13.27
270250,32,2702504,1107,NA,96.55
270255,9,2702553,1724,NA,NA
270290,84,2702900,4382,NA,NA
270310,104,2703106,3202,NA,NA
270330,198,2703304,2219,NA,71.74
270340,12,2703403,1291,NA,NA
270370,32,2703700,805,NA,NA
270410,89,2704104,3164,NA,0
270440,52,2704401,2060,NA,91.17
270460,28,2704609,1607,NA,100
270500,420,2705002,2332,NA,NA
270530,12,2705309,480,NA,NA
270540,22,2705408,1244,NA,NA
270570,25,2705705,5767,NA,NA
270580,152,2705804,1303,NA,NA
270600,27,2706000,1649,NA,NA
270610,30,2706109,1330,NA,96.23
270620,20,2706208,1091,NA,100
270630,20,2706307,18456,752,100
270640,22,2706406,6498,0,NA
270642,146,2706422,2087,NA,100
270710,24,2707107,4769,1945,NA
270720,25,2707206,989,NA,NA
270760,10,2707602,2527,335,NA
270800,30,2708006,10696,830,99.53
270840,27,2708402,3938,NA,NA
270895,52,2708956,1084,NA,99.48
270920,43,2709202,2286,NA,79.77
280010,0,2800100,658,NA,NA
280020,0,2800209,6248,NA,NA
280110,0,2801108,1309,NA,NA
280120,0,2801207,5072,NA,NA
280140,0,2801405,5885,NA,NA
280160,0,2801603,2045,NA,NA
280190,0,2801900,1380,NA,NA
280220,0,2802205,1909,NA,NA
280230,0,2802304,4472,NA,100
280240,0,2802403,3046,NA,100
280260,0,2802601,2124,NA,100
280310,0,2803104,2285,NA,NA
280370,0,2803708,1828,657,NA
280420,0,2804201,3882,NA,79.84
